name,playcount,listeners,mbid,url,streamable,tags
Jamie Cullum,23089453,1209679,e0e9d279-37d5-4493-99b8-5a21309502f6,https://www.last.fm/music/Jamie+Cullum,0,"jazz, piano, singer-songwriter"
The Mars Volta,58803842,1209230,20883363-1ea4-4d72-ad72-c0e767038f3e,https://www.last.fm/music/The+Mars+Volta,0,"Progressive rock, experimental, rock"
Dream Theater,112041971,1204814,28503ab7-8bf2-4666-a7bd-2644bfc7cb1d,https://www.last.fm/music/Dream+Theater,0,"Progressive metal, Progressive rock, metal"
The Vines,17908116,1202293,85db45b3-fd2e-42de-9e20-46d4cfe4c429,https://www.last.fm/music/The+Vines,0,"rock, indie, indie rock"
The Supremes,13110030,1201794,d8392f05-fb39-402e-8e21-913f2b27b5c6,https://www.last.fm/music/The+Supremes,0,"soul, motown, 60s"
Within Temptation,86147116,1201259,eace2373-31c8-4aba-9a5c-7bce22dd140a,https://www.last.fm/music/Within+Temptation,0,"symphonic metal, Gothic Metal, Female fronted metal"
Him,71057508,1195273,8ceb3468-5cee-4948-9178-0dce86cfdf41,https://www.last.fm/music/Him,0,"Love Metal, Gothic Rock, rock"
Silverchair,26219273,1192946,b0799818-22cb-4564-8e68-3c410d0722ee,https://www.last.fm/music/Silverchair,0,"Grunge, rock, alternative rock"
Live,19821213,1192317,cba77ba2-862d-4cee-a8f6-d3f9daf7211c,https://www.last.fm/music/Live,0,"rock, alternative rock, alternative"
The Band,20996561,1185156,a0ef7e1d-44ff-4039-9435-7d5fefdeecc9,https://www.last.fm/music/The+Band,0,"classic rock, rock, folk rock"
Atreyu,42722525,1184985,17e137fb-59e5-4fd7-af48-afc34995396c,https://www.last.fm/music/Atreyu,0,"metalcore, hardcore, metal"
Kraftwerk,33688502,1182923,5700dcd4-c139-4f31-aa3e-6382b9af9032,https://www.last.fm/music/Kraftwerk,0,"electronic, synthpop, german"
Trivium,64679367,1181620,1f5ff245-2837-4d4a-a609-e93e544478c3,https://www.last.fm/music/Trivium,0,"metalcore, thrash metal, metal"
Birdman,6506545,1181523,dcf5807c-ef1f-4291-b452-6824080ecac4,https://www.last.fm/music/Birdman,0,"Hip-Hop, rap, Dirty South"
Doves,21171963,1180534,9de8f66e-3cd1-4f11-8328-38200f0612b0,https://www.last.fm/music/Doves,0,"indie, indie rock, britpop"
My Morning Jacket,29925623,1175973,ea5883b7-68ce-48b3-b115-61746ea53b8c,https://www.last.fm/music/My+Morning+Jacket,0,"indie, indie rock, Alt-country"
Jordin Sparks,13277067,1175344,5508631d-697f-4839-a669-06637e5bcb90,https://www.last.fm/music/Jordin+Sparks,0,"pop, rnb, female vocalists"
Donovan,16054698,1173858,d03a507f-4b3f-4188-8635-52ef78338e23,https://www.last.fm/music/Donovan,0,"folk, singer-songwriter, 60s"
Eddie Vedder,35967095,1172327,1a60d6dd-9d3e-40fc-a66d-3184f9ee0d61,https://www.last.fm/music/Eddie+Vedder,0,"singer-songwriter, Grunge, rock"
Digitalism,25918695,1171108,7b52603c-a84c-4a76-8dc8-899bb4dd9fa7,https://www.last.fm/music/Digitalism,0,"electronic, electro, dance"
Perry Como,8539990,1170046,0182474b-8a1d-46d0-9d0f-e6df353335ea,https://www.last.fm/music/Perry+Como,0,"jazz, oldies, 50s"
The Yardbirds,11422118,1169722,191de76f-a224-445d-b041-54df16d65bf7,https://www.last.fm/music/The+Yardbirds,0,"classic rock, blues rock, 60s"
Philip Glass,28581238,1166356,5ae54dee-4dba-49c0-802a-a3b3b3adfe9b,https://www.last.fm/music/Philip+Glass,0,"minimalism, Classical, contemporary classical"
Elvis Costello,21556389,1165017,8a338e06-d182-46f2-bd16-30a09bc840ba,https://www.last.fm/music/Elvis+Costello,0,"rock, new wave, singer-songwriter"
Lamb,23257124,1162209,d0cd81a5-0d64-404e-9bd3-932c019694b3,https://www.last.fm/music/Lamb,0,"trip-hop, electronic, chillout"
B.B. King,18366760,1159323,dcb03ce3-67a5-4eb3-b2d1-2a12d93a38f3,https://www.last.fm/music/B.B.+King,0,"blues, guitar, blues rock"
Styx,14146679,1158869,835a6d9c-fea0-4a71-ae52-9c4da946433a,https://www.last.fm/music/Styx,0,"classic rock, rock, Progressive rock"
Elbow,31735370,1156134,3cb3928a-526c-4a3d-93c5-53315fa9bde0,https://www.last.fm/music/Elbow,0,"indie, seen live, alternative"
Trapt,17602408,1155909,8876c0be-ccff-4d46-aa91-7f935a3b3b6b,https://www.last.fm/music/Trapt,0,"rock, alternative rock, alternative"
Hilary Duff,25136755,1154814,bfaf9b70-d1fd-4d3e-b730-3e67e6f8f9bb,https://www.last.fm/music/Hilary+Duff,0,"pop, female vocalists, dance"
Noah and the Whale,25487313,1152914,917bc621-ad02-477d-9308-a0304c5f9727,https://www.last.fm/music/Noah+and+the+Whale,0,"folk, indie, indie folk"
ATB,30041328,1151253,22a096ef-c70d-4d70-ae19-4fc2412d4986,https://www.last.fm/music/ATB,0,"trance, electronic, dance"
Theory of a Deadman,23166399,1151181,183e636e-d41c-43fe-a428-8a034eb20c7b,https://www.last.fm/music/Theory+of+a+Deadman,0,"rock, alternative rock, post-grunge"
UB40,13419197,1150702,7113aab7-628f-4050-ae49-dbecac110ca8,https://www.last.fm/music/UB40,0,"reggae, 80s, pop"
Enigma,37839905,1149501,f1d1df24-91af-4d27-83a4-9b4ad29b37eb,https://www.last.fm/music/Enigma,0,"new age, ambient, electronic"
Savage Garden,16128526,1148804,a871fd87-50f7-4032-b06d-da56779edcce,https://www.last.fm/music/Savage+Garden,0,"pop, 90s, australian"
Hooverphonic,27098090,1148691,62dc94cc-f611-4345-87cb-b914796a4a45,https://www.last.fm/music/Hooverphonic,0,"trip-hop, electronic, chillout"
